saps,fecha,servicio,turno,consulta_cantidad,rango_etario,sexo,detalle
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,3.0,20 - 39 AÑOS,F,INACTIVACION DE CARIES
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1.0,20 - 39 AÑOS,M,INACTIVACION DE CARIES
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,2.0,1 - 4 AÑOS,F,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1.0,5 - 14 AÑOS,M,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,2.0,5 - 14 AÑOS,F,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,4.0,15 - 19 AÑOS,F,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,2.0,15 - 19 AÑOS,M,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1.0,20 - 39 AÑOS,F,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1.0,1 - 4 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,2.0,1 - 4 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1.0,5 - 14 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,2.0,5 - 14 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1.0,15 - 19 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,2.0,5 - 14 AÑOS,F,EXTRACCION DENTARIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,2.0,5 - 14 AÑOS,M,EXTRACCION DENTARIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1.0,15 - 19 AÑOS,F,EXTRACCION DENTARIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,2.0,20 - 39 AÑOS,F,EXTRACCION DENTARIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,2.0,40 - 69 AÑOS,F,EXTRACCION DENTARIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,TARDE,1.0,20 - 39 AÑOS,F,URGENCIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,TARDE,1.0,20 - 39 AÑOS,M,URGENCIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,TARDE,1.0,1 - 4 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,TARDE,1.0,1 - 4 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,TARDE,2.0,5 - 14 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,TARDE,2.0,5 - 14 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,TARDE,2.0,20 - 39 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,TARDE,1.0,20 - 39 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,3.0,1 - 4 AÑOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,2.0,5 - 14 AÑOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,4.0,5 - 14 AÑOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,4.0,15 - 19 AÑOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,2.0,15 - 19 AÑOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,6.0,20 - 39 AÑOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,4.0,20 - 39 AÑOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,3.0,15 - 19 AÑOS,F,EXTRACCION DENTARIA
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,1.0,15 - 19 AÑOS,M,EXTRACCION DENTARIA
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,7.0,20 - 39 AÑOS,F,EXTRACCION DENTARIA
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,6.0,20 - 39 AÑOS,M,EXTRACCION DENTARIA
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,2.0,40 - 69 AÑOS,F,EXTRACCION DENTARIA
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,5.0,40 - 69 AÑOS,M,EXTRACCION DENTARIA
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,3.0,1 - 4 AÑOS,F,INACTIVACION DE CARIES
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,2.0,1 - 4 AÑOS,M,INACTIVACION DE CARIES
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,6.0,5 - 14 AÑOS,F,INACTIVACION DE CARIES
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,5.0,5 - 14 AÑOS,M,INACTIVACION DE CARIES
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,2.0,15 - 19 AÑOS,F,INACTIVACION DE CARIES
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,1.0,15 - 19 AÑOS,M,INACTIVACION DE CARIES
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,6.0,1 - 4 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,6.0,5 - 14 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,7.0,5 - 14 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,2.0,15 - 19 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,1.0,15 - 19 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,1.0,1 - 4 AÑOS,M,URGENCIA
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,3.0,5 - 14 AÑOS,F,URGENCIA
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,2.0,5 - 14 AÑOS,M,URGENCIA
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,3.0,15 - 19 AÑOS,F,URGENCIA
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,3.0,20 - 39 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,2.0,20 - 39 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,1.0,40 - 69 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,2.0,5 - 14 AÑOS,F,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,1.0,5 - 14 AÑOS,M,TARTREC Y CEPILLADO MECAniCO
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,1.0,20 - 39 AÑOS,F,TARTREC Y CEPILLADO MECAniCO
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,2.0,5 - 14 AÑOS,F,APLICACION DE FLUOR
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,2.0,5 - 14 AÑOS,M,APLICACION DE FLUOR
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,1.0,5 - 14 AÑOS,F,EXTRACCION DENTARIA
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,1.0,5 - 14 AÑOS,M,EXTRACCION DENTARIA
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,2.0,15 - 19 AÑOS,M,EXTRACCION DENTARIA
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,3.0,20 - 39 AÑOS,F,EXTRACCION DENTARIA
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,3.0,20 - 39 AÑOS,M,EXTRACCION DENTARIA
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,2.0,40 - 69 AÑOS,F,EXTRACCION DENTARIA
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,2.0,40 - 69 AÑOS,M,EXTRACCION DENTARIA
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,3.0,1 - 4 AÑOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,5.0,5 - 14 AÑOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,6.0,15 - 19 AÑOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,7.0,15 - 19 AÑOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,5.0,20 - 39 AÑOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,3.0,20 - 39 AÑOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,3.0,40 - 69 AÑOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,3.0,1 - 4 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,2.0,1 - 4 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,2.0,5 - 14 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,5.0,5 - 14 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,2.0,5 - 14 AÑOS,F,URGENCIA
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,2.0,5 - 14 AÑOS,M,URGENCIA
